EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
58,26,7,modeled,0.434930801,0.383366495,0.126039356,0.41870454,0.026199177
64,17,11,modeled,0.423363894,0.478435516,0.09326525,0.417441934,0.033629354
57,28,4,modeled,0.401883096,0.420914382,0.123947255,0.417405456,0.022034796
96,21,194,empirical,0.324742268,0.62371134,0.577319588,0.417174027,0.028867602
96,-3,159,empirical,0.427672956,0.477987421,0.100628931,0.417078856,0.028791232
63,20,10,modeled,0.480160773,0.568417609,0.098922402,0.416897416,0.034152299
61,36,6,modeled,0.370559126,0.514220059,0.117781542,0.416568249,0.030944476
100,-6,120,empirical,0.433333333,0.466666667,0.058333333,0.415464364,0.027495672
92,0,108,empirical,0.416666667,0.481481481,0.12962963,0.412488728,0.025107854
77,10,42,modeled,0.413090616,0.463994682,0.075881399,0.411846966,0.023385329
76,10,38,modeled,0.413090616,0.460875571,0.075881399,0.411846966,0.023385329
88,-1,67,empirical,0.417910448,0.47761194,0.119402985,0.411655967,0.024439599
97,20,176,empirical,0.306818182,0.636363636,0.613636364,0.411571131,0.024371522
61,37,7,modeled,0.37026298,0.502995193,0.111008815,0.410529763,0.027358739
61,38,7,modeled,0.376026869,0.505435169,0.110257313,0.410529763,0.027358739
89,4,60,empirical,0.4,0.5,0.183333333,0.410141058,0.023223951
78,8,42,modeled,0.437387377,0.493767768,0.086497217,0.410026789,0.021220567
75,31,35,modeled,0.367195427,0.487783223,0.141059056,0.408497751,0.021306956
91,2,93,empirical,0.430107527,0.451612903,0.043010753,0.408136472,0.021615358
91,-1,120,empirical,0.425,0.458333333,0.066666667,0.407989643,0.021497534
100,38,72,empirical,0.208333333,0.819444444,0.819444444,0.407772114,0.021322976
86,1,69,empirical,0.420289855,0.463768116,0.086956522,0.407557557,0.021150804
75,11,28,modeled,0.462115765,0.505361438,0.076176792,0.406692058,0.013824366
100,-7,119,empirical,0.420168067,0.462184874,0.075630252,0.406602791,0.020384646
76,30,28,modeled,0.302310586,0.442415148,0.154232845,0.406456023,0.019689886
78,3,51,empirical,0.411764706,0.470588235,0.117647059,0.405602203,0.019581717
83,9,56,empirical,0.428571429,0.446428571,0.035714286,0.40528974,0.01933098
73,12,33,modeled,0.456257761,0.478675932,0.078745157,0.405285299,0.012695601
91,1,104,empirical,0.403846154,0.480769231,0.144230769,0.404969403,0.019073923
57,27,5,modeled,0.356650919,0.38465938,0.102841362,0.404624134,0.010042734
94,-3,122,empirical,0.418032787,0.459016393,0.081967213,0.404489388,0.018688732
90,20,119,empirical,0.344537815,0.56302521,0.411764706,0.404398404,0.018615721
91,-2,87,empirical,0.425287356,0.448275862,0.045977011,0.404233129,0.018483095
94,25,158,empirical,0.265822785,0.689873418,0.683544304,0.403593266,0.017969633
85,22,62,empirical,0.387096774,0.5,0.209677419,0.40318406,0.017641263
72,40,19,modeled,0.290780395,0.459050566,0.111308493,0.402343452,0.017748509
58,24,6,modeled,0.407035291,0.374749929,0.105264932,0.401898324,0.01294902
78,9,40,modeled,0.421906739,0.498647094,0.081986174,0.401808769,0.015330173
63,18,20,modeled,0.393150926,0.479993522,0.099796481,0.401197523,0.016395779
57,29,7,modeled,0.397089392,0.496865302,0.134690955,0.400460452,0.008437179
74,11,28,modeled,0.447546363,0.505361438,0.076176792,0.400221199,0.008631807
83,4,61,empirical,0.409836066,0.459016393,0.098360656,0.400058883,0.015133444
97,-3,143,empirical,0.412587413,0.454545455,0.083916084,0.399807082,0.014931385
89,0,77,empirical,0.402597403,0.467532468,0.12987013,0.399458541,0.014651696
96,-7,142,empirical,0.408450704,0.457746479,0.098591549,0.398816134,0.014136193
92,-5,109,empirical,0.394495413,0.47706422,0.165137615,0.398786599,0.014112492
96,-5,133,empirical,0.413533835,0.45112782,0.067669173,0.398744974,0.01407909
77,8,41,modeled,0.412560016,0.461723953,0.086916894,0.39861691,0.012064636
76,8,43,modeled,0.409867644,0.458604842,0.086916894,0.39861691,0.012064636
