EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
116,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
117,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
118,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
119,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
120,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
121,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
122,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
123,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
124,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
125,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
126,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
127,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
128,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
129,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
130,28,,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
112,30,18,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
113,30,7,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
115,30,2,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
114,30,1,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
116,30,1,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
117,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
118,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
119,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
120,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
121,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
122,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
123,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
124,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
125,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
126,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
127,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
128,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
129,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
130,30,,modeled,0.973326921,3.913188696,3.899127483,1.9616009,1.233174324
112,23,29,modeled,0.972960055,3.85307765,3.8421731,1.94982636,1.229038954
113,23,15,modeled,0.972960055,3.85307765,3.8421731,1.94982636,1.229038954
114,23,12,modeled,0.972960055,3.85307765,3.8421731,1.94982636,1.229038954
